name,salary_from,salary_to,salary_currency,area_name,published_at
Фрезеровщик,100000,,RUR,Нижний Тагил,2022-12-19T06:33:54+0300
Техник ИТ,60000,,RUR,Сургут,2022-12-19T06:23:57+0300
Системный администратор,55000,55000,RUR,Екатеринбург,2022-12-19T06:23:46+0300
"Инженер-консультант по направлению ""Ремонт и обслуживание механического оборудования""",50000,,RUR,Екатеринбург,2022-12-19T06:24:35+0300
Программист-разработчик (Junior Ruby on Rails Developer),700,1500,USD,Бишкек,2022-12-19T06:44:15+0300
Руководитель отдела ИТ,100000,,RUR,Омск,2022-12-19T06:39:00+0300
Системный администратор,60000,,RUR,Хабаровск,2022-12-19T06:58:09+0300
Инженер по обслуживанию оборудования,80000,,RUR,Нижний Тагил,2022-12-19T06:23:37+0300
"Начальник РМС (начальник базы спецтехники), в г.Усть-Кут",,130000,RUR,Усть-Кут,2022-12-19T06:09:48+0300
Системный администратор,70000,,KGS,Бишкек,2022-12-19T06:31:54+0300
Механик по выпуску,50000,,RUR,Хабаровск,2022-12-19T06:48:51+0300
Токарь,40000,,RUR,Челябинск,2022-12-19T06:21:49+0300
Ведущий инженер,44000,,RUR,Батайск,2022-12-19T06:59:42+0300
Программист 1C,90000,,RUR,Челябинск,2022-12-19T06:28:43+0300
Программист 1C,150000,,RUR,Екатеринбург,2022-12-19T06:52:59+0300
Механик,30000,,RUR,Куйтун,2022-12-19T06:25:32+0300
Ведущий инженер-программист,60000,60000,RUR,Екатеринбург,2022-12-19T06:03:37+0300
Рабочий по комплексному обслуживанию зданий,27000,27000,RUR,Омск,2022-12-19T06:45:22+0300
Токарь-универсал,55000,,RUR,Новосибирск,2022-12-19T06:09:29+0300
Токарь,45000,,RUR,Учалы,2022-12-19T06:47:40+0300
Оператор станка с ЧПУ,60000,70000,RUR,Екатеринбург,2022-12-19T06:53:02+0300
Дизайнер-консультант,45000,70000,RUR,Красноярск,2022-12-19T06:13:01+0300
Начальник механического участка,,54000,RUR,Аргаяш,2022-12-19T06:04:15+0300
Монтажник ВОЛС,45000,,RUR,Красноярск,2022-12-19T06:24:40+0300
Специалист сервисного центра (Чиряева 5),45000,50000,RUR,Якутск,2022-12-19T06:03:17+0300
Инженер-механик,54980,54980,RUR,Челябинск,2022-12-19T06:21:49+0300
Стажер - Системный аналитик (шлюзы безопасности),,20000,RUR,Томск,2022-12-19T06:50:48+0300
Консультант 1С: ERP (Аналитик),50000,80000,RUR,Челябинск,2022-12-19T06:42:40+0300
Системный администратор,,55000,RUR,Новосибирск,2022-12-19T06:34:42+0300
Консультант 1С: ERP (Аналитик),50000,80000,RUR,Магнитогорск,2022-12-19T06:42:27+0300
Аналитик отдела продаж,60000,,RUR,Сургут,2022-12-19T06:47:24+0300
Инженер-программист ЧПУ,50000,,RUR,Челябинск,2022-12-19T06:43:14+0300
"Резчик на пилах, ножовках и станках",48000,48000,RUR,Екатеринбург,2022-12-19T06:27:15+0300
Токарь-универсал,70000,,RUR,Екатеринбург,2022-12-19T06:48:46+0300
Full-stack разработчик (Bitrix),60000,120000,RUR,Красноярск,2022-12-19T06:11:50+0300
"Оператор станков с ЧПУ (фрезерные, токарные работы)",60000,,RUR,Новосибирск,2022-12-19T06:09:25+0300
Механик по оборудованию,50000,50000,RUR,Искитим,2022-12-19T06:49:57+0300
Токарь,42000,42000,RUR,Муравленко,2022-12-19T06:52:26+0300
Электромеханик,60000,60000,RUR,Екатеринбург,2022-12-19T06:48:41+0300
Ведущий инженер-программист (1С),,130000,RUR,Челябинск,2022-12-19T06:42:59+0300
